x,y,z,type,id_e
0.0,0.0,0,electrode,0
8.0,0.0,0,electrode,2
16.0,0.0,0,electrode,4
24.0,0.0,0,electrode,6
32.0,0.0,0,electrode,8
40.0,0.0,0,electrode,10
48.0,0.0,0,electrode,12
56.0,0.0,0,electrode,14
64.0,0.0,0,electrode,16
72.0,0.0,0,electrode,18
80.0,0.0,0,electrode,20
88.0,0.0,0,electrode,22
96.0,0.0,0,electrode,24
104.0,0.0,0,electrode,26
0.0,20.0,0,electrode,1
8.0,20.0,0,electrode,3
16.0,20.0,0,electrode,5
24.0,20.0,0,electrode,7
32.0,20.0,0,electrode,9
40.0,20.0,0,electrode,11
48.0,20.0,0,electrode,13
56.0,20.0,0,electrode,15
64.0,20.0,0,electrode,17
72.0,20.0,0,electrode,19
80.0,20.0,0,electrode,21
88.0,20.0,0,electrode,23
96.0,20.0,0,electrode,25
104.0,20.0,0,electrode,27
