id_e,id_n,r2
0,0,151.85385774267013
0,1,3607.105721384675
0,2,14930.635611155456
2,0,313.7682245490746
2,1,2827.0391786507043
2,2,13044.530220632063
4,0,603.6825913554791
4,1,2174.9726359167344
4,2,11286.42483010867
6,0,1021.5969581618834
6,1,1650.9060931827637
6,2,9656.319439585277
8,0,1567.511324968288
8,1,1254.8395504487933
8,2,8154.214049061883
10,0,2241.4256917746925
10,1,986.773007714823
10,2,6780.10865853849
12,0,3043.340058581097
12,1,846.7064649808527
12,2,5534.003268015097
14,0,3973.254425387501
14,1,834.6399222468824
14,2,4415.897877491704
16,0,5031.1687921939065
16,1,950.5733795129121
16,2,3425.792486968311
18,0,6217.083159000312
18,1,1194.5068367789415
18,2,2563.687096444918
20,0,7530.997525806716
20,1,1566.4402940449713
20,2,1829.581705921525
22,0,8972.911892613121
22,1,2066.3737513110013
22,2,1223.476315398132
24,0,10542.826259419526
24,1,2694.307208577031
24,2,745.3709248747392
26,0,12240.74062622593
26,1,3450.2406658430605
26,2,395.2655343513462
1,0,280.77870486777306
1,1,2882.4218709809397
1,2,15472.02571076537
3,0,442.6930716741776
3,1,2102.3553282469693
3,2,13585.920320241978
5,0,732.607438480582
5,1,1450.2887855129986
5,2,11827.814929718585
7,0,1150.5218052869864
7,1,926.2222427790284
7,2,10197.709539195192
9,0,1696.436172093391
9,1,530.1557000450581
9,2,8695.604148671799
11,0,2370.350538899795
11,1,262.0891573110878
11,2,7321.498758148405
13,0,3172.2649057061994
13,1,122.02261457711741
13,2,6075.393367625012
15,0,4102.179272512604
15,1,109.95607184314709
15,2,4957.287977101619
17,0,5160.0936393190095
17,1,225.88952910917678
17,2,3967.182586578226
19,0,6346.008006125415
19,1,469.8229863752065
19,2,3105.077196054833
21,0,7659.922372931819
21,1,841.7564436412362
21,2,2370.97180553144
23,0,9101.836739738224
23,1,1341.6899009072656
23,2,1764.8664150080472
25,0,10671.751106544629
25,1,1969.6233581732954
25,2,1286.7610244846542
27,0,12369.665473351033
27,1,2725.5568154393254
27,2,936.6556339612614
