window,id_e,w1,w2
0,0,0.24217938,0.8520028
0,1,0.5872597,0.5036203
0,2,0.6292017,0.4608656
0,3,0.7351223,0.3527459
1,4,0.69840866,0.79555106
1,5,0.7412179,0.7775222
1,6,0.8111428,0.7491667
1,7,0.8140609,0.7472747
2,8,0.8703171,0.64261335
2,9,0.7026075,0.7233301
2,10,0.8399808,0.658033
2,11,0.4118226,0.86334324
3,12,0.91693723,0.14631426
3,13,0.44706446,0.8887426
3,14,0.9154601,0.14954843
3,15,0.38612458,0.9825466
4,16,0.8330653,0.60115814
4,17,0.30916646,0.8874304
4,18,0.86606735,0.5834424
4,19,0.6668487,0.6921483
5,20,0.98364073,0.98027086
5,21,0.9753683,0.9830486
5,22,0.98345524,0.9803296
5,23,0.9819948,0.9808232
6,24,0.8563375,0.84642774
6,25,0.91239256,0.8258263
6,26,0.7378959,0.89026904
6,27,0.8844581,0.836049
